Order,Stimulus,Type,Block
0,platery,nonword,dummy
0,denial,word,dummy
0,generic,word,dummy
1,mensible,nonword,trial
2,scornful,word,trial
3,stoutly,word,trial
4,ablaze,word,trial
5,kermshaw,nonword,trial
6,moonlit,word,trial
7,lofty,word,trial
8,hurricane,word,trial
9,flaw,word,trial
10,alberation,nonword,trial
11,unkempt,word,trial
12,breeding,word,trial
13,festivity,word,trial
14,screech,word,trial
15,savoury,word,trial
16,plaudate,nonword,trial
17,shin,word,trial
18,fluid,word,trial
19,spaunch,nonword,trial
20,allied,word,trial
21,slain,word,trial
22,recipient,word,trial
23,exprate,nonword,trial
24,eloquence,word,trial
25,cleanliness,word,trial
26,dispatch,word,trial
27,rebondicate,nonword,trial
28,ingenious,word,trial
29,bewitch,word,trial
30,skave,nonword,trial
31,plaintively,word,trial
32,kilp,nonword,trial
33,interfate,nonword,trial
34,hasty,word,trial
35,lengthy,word,trial
36,fray,word,trial
37,crumper,nonword,trial
38,upkeep,word,trial
39,majestic,word,trial
40,magrity,nonword,trial
41,nourishment,word,trial
42,abergy,nonword,trial
43,proom,nonword,trial
44,turmoil,word,trial
45,carbohydrate,word,trial
46,scholar,word,trial
47,turtle,word,trial
48,fellick,nonword,trial
49,destription,nonword,trial
50,cylinder,word,trial
51,censorship,word,trial
52,celestial,word,trial
53,rascal,word,trial
54,purrage,nonword,trial
55,pulsh,nonword,trial
56,muddy,word,trial
57,quirty,nonword,trial
58,pudour,nonword,trial
59,listless,word,trial
60,wrought,word,trial
